Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Company,Month,Budget_Planned,Variance,Cost_Per_Click
Women 35-44,Product Launch,45 Days,Instagram,0.09,7933.99,5.57,20732,62929,1,Home,2022-12-21,Cozy Corners,Dec,8727.389000000001,793.3990000000013,0.38
Men 35-44,Increase Sales,45 Days,Instagram,0.09,8033.86,6.24,21008,63745,10,Fashion,2022-06-13,Glam Garments,Jun,8837.246000000001,803.3860000000013,0.38
Women 35-44,Product Launch,45 Days,Pinterest,0.13,9711.05,0.9741725870020485,15016,49877,1,Fashion,2022-10-03,Trend Tailors,Oct,10682.155,971.1050000000014,0.65
Women 25-34,Market Expansion,60 Days,Twitter,0.08,11679.76,0.04,30921,93109,7,Home,2022-08-03,Nest Neat,Aug,12847.736,1167.9760000000006,0.38
Women 25-34,Brand Awareness,45 Days,Instagram,0.09,10229.77,7.15,26981,81437,6,Home,2022-01-08,Living Luxe,Jan,11252.747000000001,1022.9770000000008,0.38
Men 35-44,Increase Sales,15 Days,Facebook,0.03,3353.84,5.48,8303,26114,5,Technology,2022-08-27,Gadget Giants,Aug,3689.2240000000006,335.38400000000047,0.4
Men 18-24,Increase Sales,60 Days,Instagram,0.07,13279.38,0.74,35060,105370,9,Food,2022-05-06,Feast Flavors,May,14607.318000000001,1327.938000000002,0.38
Men 18-24,Brand Awareness,45 Days,Twitter,0.02,9625.86,1.45,25330,76547,7,Health,2022-11-17,Vigor Valley,Nov,10588.446000000002,962.5860000000011,0.38
Women 35-44,Product Launch,30 Days,Facebook,0.11,6873.91,0.56,17855,54407,2,Fashion,2022-04-08,Vogue Visions,Apr,7561.301,687.3910000000005,0.38
Women 18-24,Brand Awareness,15 Days,Twitter,0.07,4071.66,1.5,10236,31840,4,Health,2022-08-07,Fitness Front,Aug,4478.826,407.16600000000017,0.4
Women 18-24,Market Expansion,45 Days,Twitter,0.14,7965.35,6.89,20817,63180,5,Fashion,2022-06-10,Chic Couture,Jun,8761.885,796.5349999999999,0.38
Men 35-44,Market Expansion,45 Days,Twitter,0.03,8582.73,0.08,22513,68205,6,Technology,2022-02-01,Silicon Saga,Feb,9441.003,858.273000000001,0.38
Women 45-60,Increase Sales,60 Days,Pinterest,0.05,14171.92,0.8133000496989579,21744,71784,1,Technology,2022-09-13,Gadget Giants,Sep,15589.112000000001,1417.192000000001,0.65
Men 25-34,Product Launch,45 Days,Twitter,0.02,10024.88,4.86,26416,79765,3,Health,2022-03-01,Vital Vigor,Mar,11027.368,1002.4880000000012,0.38
All Ages,Brand Awareness,30 Days,Instagram,0.13,4924.89,7.9,12572,38759,9,Home,2022-06-23,Dwell Delight,Jun,5417.379000000001,492.4890000000005,0.39
Women 35-44,Market Expansion,45 Days,Pinterest,0.13,8337.55,0.7757631243282367,12827,42750,1,Technology,2022-03-22,Code Crafters,Mar,9171.305,833.755000000001,0.65
All Ages,Increase Sales,60 Days,Twitter,0.03,11680.14,3.14,30922,93112,1,Fashion,2022-07-23,Chic Couture,Jul,12848.154,1168.014000000001,0.38
Women 25-34,Increase Sales,15 Days,Pinterest,0.01,3095.93,0.9991972039158624,4478,15563,1,Health,2022-02-04,Aura Align,Feb,3405.523,309.5930000000003,0.69
Men 45-60,Product Launch,60 Days,Twitter,0.1,12519.78,1.86,33134,99664,4,Home,2022-05-06,Domestic Dream,May,13771.758000000002,1251.978000000001,0.38
Men 18-24,Brand Awareness,30 Days,Pinterest,0.14,5232.69,0.7239264178639075,7879,26636,1,Health,2022-06-18,Aura Align,Jun,5755.959,523.2690000000002,0.66
Men 18-24,Market Expansion,60 Days,Pinterest,0.03,13825.86,1.0045596218259656,21321,70405,1,Food,2022-06-28,Feast Flavors,Jun,15208.446000000002,1382.5860000000011,0.65
Men 45-60,Market Expansion,15 Days,Twitter,0.08,2609.3,7.01,6382,20424,3,Food,2022-11-11,Bistro Bliss,Nov,2870.2300000000005,260.9300000000003,0.41
All Ages,Product Launch,15 Days,Twitter,0.11,3195.95,3.6,7883,24870,4,Technology,2022-05-14,Quantum Quirks,May,3515.545,319.59500000000025,0.41
Men 25-34,Brand Awareness,30 Days,Instagram,0.01,6757.53,3.96,17534,53456,5,Home,2022-02-20,Dwell Delight,Feb,7433.283,675.7530000000006,0.39
Men 45-60,Increase Sales,30 Days,Twitter,0.12,6948.79,7.07,18059,55010,4,Health,2022-09-24,Pulse Point,Sep,7643.669000000001,694.8790000000008,0.38
Men 25-34,Brand Awareness,30 Days,Pinterest,0.09,4645.51,0.6166780596618472,6933,23557,1,Technology,2022-09-26,Code Crafters,Sep,5110.061000000001,464.5510000000004,0.67
Women 25-34,Brand Awareness,45 Days,Instagram,0.09,9765.52,2.5,25722,77708,4,Fashion,2022-09-07,Attire Artistry,Sep,10742.072000000002,976.5520000000015,0.38
Men 35-44,Market Expansion,45 Days,Instagram,0.11,11082.16,5.7,29299,88304,10,Food,2022-01-28,Feast Flavors,Jan,12190.376,1108.2160000000003,0.38
Men 25-34,Brand Awareness,45 Days,Pinterest,0.06,10601.46,0.1698099004865955,16438,54505,1,Health,2022-08-03,Vital Vigor,Aug,11661.606,1060.1460000000006,0.64
Men 25-34,Market Expansion,30 Days,Twitter,0.04,5774.68,2.01,14877,45586,1,Technology,2022-12-31,Gadget Giants,Dec,6352.148000000001,577.4680000000008,0.39
Women 35-44,Product Launch,15 Days,Facebook,0.07,2333.66,2.13,5707,18424,3,Food,2022-12-07,Culinary Quest,Dec,2567.026,233.36599999999999,0.41
Men 25-34,Increase Sales,45 Days,Instagram,0.12,8712.83,1.58,22860,69233,9,Fashion,2022-06-10,Vogue Visions,Jun,9584.113000000001,871.2830000000013,0.38
Men 35-44,Market Expansion,15 Days,Pinterest,0.01,3263.1,0.4379307959917465,4733,16394,1,Health,2022-07-27,Vigor Valley,Jul,3589.4100000000003,326.3100000000004,0.69
Women 25-34,Product Launch,15 Days,Pinterest,0.14,1986.65,0.8758615919834931,2860,10294,1,Fashion,2022-07-04,Silk & Style,Jul,2185.315,198.66499999999996,0.69
Men 45-60,Market Expansion,45 Days,Instagram,0.04,8913.35,1.65,23392,70807,1,Fashion,2022-08-03,Trend Tailors,Aug,9804.685000000001,891.335000000001,0.38
Women 18-24,Product Launch,15 Days,Twitter,0.11,2934.59,7.7,7204,22858,4,Food,2022-06-22,Feast Flavors,Jun,3228.0490000000004,293.4590000000003,0.41
Men 45-60,Brand Awareness,30 Days,Instagram,0.04,5740.49,3.27,14786,45316,9,Home,2022-08-27,Hearth Harmony,Aug,6314.539000000001,574.0490000000009,0.39
Women 25-34,Product Launch,15 Days,Facebook,0.06,4025.75,5.13,10106,31455,4,Home,2022-09-24,Living Luxe,Sep,4428.325000000001,402.5750000000007,0.4
Women 45-60,Product Launch,60 Days,Twitter,0.03,13752.43,5.01,36143,108578,9,Health,2022-09-15,Balance Beam,Sep,15127.673,1375.2430000000004,0.38
Women 25-34,Market Expansion,15 Days,Twitter,0.1,3564.63,3.61,8861,27766,2,Food,2022-08-19,Gourmet Grove,Aug,3921.0930000000003,356.4630000000002,0.4
Women 25-34,Brand Awareness,15 Days,Pinterest,0.1,1614.59,0.9670226964552444,2373,8709,1,Technology,2022-12-05,NexGen Nerds,Dec,1776.049,161.45900000000006,0.68
Men 45-60,Brand Awareness,60 Days,Facebook,0.08,13205.14,2.47,34885,104849,3,Fashion,2022-11-21,Style Sphere,Nov,14525.654,1320.514000000001,0.38
Women 45-60,Brand Awareness,15 Days,Pinterest,0.12,500.0,0.5004923382762817,976,4161,1,Fashion,2022-04-24,Chic Couture,Apr,550.0,50.0,0.51
Men 18-24,Increase Sales,15 Days,Facebook,0.09,861.71,1.1,2615,9264,3,Food,2022-09-20,Nosh Nirvana,Sep,947.8810000000001,86.17100000000005,0.33
Men 45-60,Product Launch,30 Days,Twitter,0.04,5699.24,3.14,14675,44987,9,Technology,2022-07-01,NexGen Nerds,Jul,6269.164000000001,569.9240000000009,0.39
All Ages,Increase Sales,30 Days,Instagram,0.12,6793.56,1.51,17637,53762,1,Fashion,2022-11-11,Vogue Visions,Nov,7472.916000000001,679.3560000000007,0.39
Men 35-44,Increase Sales,45 Days,Instagram,0.07,9189.93,0.5,24143,73033,2,Fashion,2022-06-13,Vogue Visions,Jun,10108.923,918.9930000000004,0.38
All Ages,Market Expansion,30 Days,Instagram,0.09,6107.23,4.74,15789,48287,4,Fashion,2022-12-09,Runway Rebels,Dec,6717.953,610.7230000000009,0.39
Men 25-34,Market Expansion,15 Days,Facebook,0.04,1933.51,1.56,4744,15571,5,Fashion,2022-02-13,Glam Garments,Feb,2126.8610000000003,193.35100000000034,0.41
Men 45-60,Product Launch,45 Days,Twitter,0.07,9773.87,6.73,25745,77777,2,Fashion,2022-11-28,Mode Maven,Nov,10751.257000000001,977.3870000000006,0.38
Women 35-44,Increase Sales,15 Days,Facebook,0.09,3265.33,7.57,8065,25407,4,Fashion,2022-09-18,Chic Couture,Sep,3591.8630000000003,326.53300000000036,0.4
Women 45-60,Market Expansion,45 Days,Twitter,0.08,8262.02,1.63,21632,65595,5,Home,2022-01-12,Space Spruce,Jan,9088.222000000002,826.2020000000011,0.38
Men 35-44,Brand Awareness,45 Days,Pinterest,0.06,10941.14,0.7185639999538045,16981,56274,1,Food,2022-06-14,Dine Divine,Jun,12035.254,1094.1140000000014,0.64
Men 35-44,Increase Sales,30 Days,Pinterest,0.14,6628.08,0.1858971542169046,10092,33843,1,Food,2022-05-24,Epicurean Edge,May,7290.888000000001,662.8080000000009,0.66
Women 25-34,Brand Awareness,45 Days,Instagram,0.08,8874.09,6.9,23284,70488,10,Technology,2022-06-08,Cyber Circuit,Jun,9761.499000000002,887.4090000000015,0.38
Men 18-24,Product Launch,30 Days,Instagram,0.05,5215.64,0.29,13367,41113,2,Home,2022-08-28,Decor Dreams,Aug,5737.204000000001,521.5640000000003,0.39
Women 35-44,Brand Awareness,45 Days,Instagram,0.15,9873.59,6.89,26018,78586,7,Health,2022-07-10,Pulse Point,Jul,10860.949,987.3590000000004,0.38
Men 25-34,Product Launch,15 Days,Instagram,0.06,940.86,1.11,2758,9690,1,Health,2022-09-22,Elixir Essence,Sep,1034.9460000000001,94.08600000000013,0.34
Men 35-44,Brand Awareness,15 Days,Facebook,0.06,3932.17,6.06,9855,30711,10,Technology,2022-07-14,Pixel Pioneers,Jul,4325.387000000001,393.21700000000055,0.4
Men 25-34,Increase Sales,45 Days,Twitter,0.12,9883.97,4.0,26042,78656,3,Technology,2022-02-26,Silicon Saga,Feb,10872.367,988.3970000000008,0.38
Men 45-60,Market Expansion,15 Days,Facebook,0.07,2991.76,4.49,7354,23303,6,Technology,2022-03-16,Pixel Pioneers,Mar,3290.9360000000006,299.1760000000004,0.41
Women 45-60,Brand Awareness,60 Days,Pinterest,0.03,14003.6,1.3781414028964758,21540,71120,1,Fashion,2022-02-18,Silk & Style,Feb,15403.960000000001,1400.3600000000006,0.65
Men 18-24,Increase Sales,15 Days,Instagram,0.05,500.0,4.47,705,3607,3,Fashion,2022-07-18,Chic Couture,Jul,550.0,50.0,0.71
Men 18-24,Product Launch,60 Days,Pinterest,0.1,12780.55,0.1090358308387613,19864,65662,1,Home,2022-01-16,Living Luxe,Jan,14058.605,1278.0550000000003,0.64
Men 18-24,Brand Awareness,45 Days,Pinterest,0.02,9305.81,0.9920473133690584,14360,47741,1,Home,2022-05-18,Hearth Harmony,May,10236.391,930.5810000000001,0.65
Men 18-24,Increase Sales,30 Days,Facebook,0.09,7530.23,4.87,19627,59655,8,Fashion,2022-04-02,Glam Garments,Apr,8283.253,753.023000000001,0.38
Women 25-34,Product Launch,45 Days,Facebook,0.07,9534.84,0.05,25076,75797,8,Health,2022-02-10,Well Wish,Feb,10488.324,953.4840000000004,0.38
Men 18-24,Market Expansion,15 Days,Pinterest,0.14,500.0,0.1698099004865955,794,3567,1,Health,2022-12-08,Balance Beam,Dec,550.0,50.0,0.63
Men 35-44,Product Launch,60 Days,Twitter,0.06,12597.27,2.38,33339,100271,4,Home,2022-03-04,Domestic Dream,Mar,13856.997000000001,1259.7270000000008,0.38
Men 25-34,Brand Awareness,15 Days,Pinterest,0.04,2530.63,0.4200560696247365,3632,12810,1,Health,2022-05-29,Pulse Point,May,2783.693,253.0630000000001,0.7
Women 35-44,Product Launch,60 Days,Twitter,0.03,12553.2,5.66,33223,99926,7,Technology,2022-08-12,Silicon Saga,Aug,13808.520000000002,1255.3200000000015,0.38
Men 18-24,Market Expansion,30 Days,Facebook,0.08,6579.81,7.09,17053,52032,6,Health,2022-02-10,Elixir Essence,Feb,7237.791000000001,657.9810000000007,0.39
Men 18-24,Market Expansion,45 Days,Instagram,0.08,10866.19,6.12,28712,86564,2,Home,2022-04-10,Hearth Harmony,Apr,11952.809000000001,1086.6190000000006,0.38
Women 25-34,Increase Sales,60 Days,Facebook,0.07,13755.54,4.93,36151,108599,10,Technology,2022-07-19,NexGen Nerds,Jul,15131.094000000003,1375.554000000002,0.38
Women 25-34,Brand Awareness,30 Days,Facebook,0.09,7326.52,3.52,19078,58030,10,Technology,2022-02-10,Innovate Infinity,Feb,8059.172000000001,732.652000000001,0.38
Men 18-24,Market Expansion,60 Days,Pinterest,0.03,15000.0,0.3431947462465932,22889,75513,1,Health,2022-12-01,Fitness Front,Dec,16500.0,1500.0,0.66
Women 35-44,Increase Sales,15 Days,Facebook,0.09,3491.45,4.46,8664,27183,2,Fashion,2022-09-13,Trend Tailors,Sep,3840.5950000000003,349.14500000000044,0.4
Women 35-44,Market Expansion,30 Days,Instagram,0.11,4803.43,0.61,12234,37757,4,Technology,2022-08-07,Pixel Pioneers,Aug,5283.773000000001,480.34300000000076,0.39
Women 25-34,Market Expansion,15 Days,Twitter,0.02,2771.27,3.58,6785,21617,10,Technology,2022-12-30,Quantum Quirks,Dec,3048.3970000000004,277.1270000000004,0.41
Men 25-34,Brand Awareness,45 Days,Instagram,0.08,11263.66,6.35,29796,89777,8,Health,2022-08-16,Well Wish,Aug,12390.026000000002,1126.3660000000018,0.38
Men 45-60,Increase Sales,15 Days,Facebook,0.03,1782.95,1.81,4401,14554,7,Home,2022-08-05,Decor Dreams,Aug,1961.2450000000001,178.29500000000007,0.41
Women 18-24,Product Launch,45 Days,Twitter,0.12,10284.86,5.45,27125,81864,4,Fashion,2022-01-30,Chic Couture,Jan,11313.346000000001,1028.4860000000008,0.38
Women 18-24,Increase Sales,45 Days,Pinterest,0.14,9927.57,0.5344543183736009,15359,50994,1,Fashion,2022-06-08,Attire Artistry,Jun,10920.327000000001,992.7570000000014,0.65
Men 25-34,Brand Awareness,15 Days,Instagram,0.04,1050.8,7.82,2955,10273,2,Health,2022-11-16,Pulse Point,Nov,1155.88,105.08000000000015,0.36
Women 25-34,Increase Sales,45 Days,Instagram,0.13,10126.91,3.29,26704,80618,7,Fashion,2022-10-16,Trend Tailors,Oct,11139.601,1012.6910000000007,0.38
Women 45-60,Increase Sales,30 Days,Pinterest,0.15,5885.35,0.2144967164041207,8919,30026,1,Food,2022-01-23,Feast Flavors,Jan,6473.885000000001,588.5350000000008,0.66
Men 45-60,Product Launch,60 Days,Pinterest,0.14,12357.89,1.169007104402458,19215,63549,1,Technology,2022-06-24,Cyber Circuit,Jun,13593.679,1235.7890000000007,0.64
All Ages,Brand Awareness,60 Days,Pinterest,0.1,11671.71,0.4718927760890657,18150,60082,1,Fashion,2022-07-26,Trend Tailors,Jul,12838.881,1167.1710000000003,0.64
Men 18-24,Market Expansion,15 Days,Facebook,0.08,2488.26,4.96,6082,19534,2,Home,2022-07-15,Hearth Harmony,Jul,2737.0860000000002,248.82600000000002,0.41
All Ages,Increase Sales,45 Days,Twitter,0.13,11234.4,3.18,29722,89559,9,Fashion,2022-11-17,Attire Artistry,Nov,12357.84,1123.4400000000005,0.38
Women 35-44,Market Expansion,45 Days,Pinterest,0.13,8643.09,1.3602666765294658,13315,44337,1,Home,2022-08-25,Space Spruce,Aug,9507.399000000001,864.3090000000011,0.65
Men 18-24,Increase Sales,45 Days,Twitter,0.09,8996.18,5.65,23617,71474,4,Home,2022-10-26,Decor Dreams,Oct,9895.798,899.6180000000004,0.38
Women 35-44,Product Launch,45 Days,Twitter,0.1,7928.85,3.76,20716,62881,7,Home,2022-12-17,Living Luxe,Dec,8721.735,792.8850000000002,0.38
Men 25-34,Increase Sales,15 Days,Twitter,0.08,4076.64,4.24,10250,31881,4,Health,2022-11-12,Vigor Valley,Nov,4484.304,407.6640000000002,0.4
Men 45-60,Brand Awareness,60 Days,Facebook,0.07,11814.15,5.96,31287,94193,4,Technology,2022-09-24,Pixel Pioneers,Sep,12995.565,1181.4150000000009,0.38
Women 25-34,Increase Sales,30 Days,Twitter,0.02,6849.5,7.28,17789,54211,4,Health,2022-04-08,Balance Beam,Apr,7534.450000000001,684.9500000000007,0.39
All Ages,Brand Awareness,45 Days,Twitter,0.13,11344.25,5.32,30013,90420,8,Home,2022-03-30,Nest Neat,Mar,12478.675000000001,1134.425000000001,0.38
Men 18-24,Increase Sales,60 Days,Pinterest,0.05,13516.47,0.530879373100199,20921,69103,1,Food,2022-04-17,Gourmet Grove,Apr,14868.117,1351.6470000000008,0.65
Men 45-60,Product Launch,15 Days,Instagram,0.08,823.07,3.02,2553,9081,1,Food,2022-09-12,Feast Flavors,Sep,905.3770000000002,82.30700000000013,0.32
Men 18-24,Product Launch,60 Days,Instagram,0.07,11501.51,4.92,30443,91693,8,Home,2022-12-02,Cozy Corners,Dec,12651.661000000002,1150.1510000000017,0.38
Men 45-60,Market Expansion,30 Days,Twitter,0.04,6077.34,0.31,15711,48057,8,Health,2022-05-09,Fitness Front,May,6685.0740000000005,607.7340000000004,0.39
Men 18-24,Product Launch,15 Days,Instagram,0.11,523.06,4.72,2117,7789,6,Fashion,2022-07-11,Runway Rebels,Jul,575.366,52.30600000000004,0.25
Men 35-44,Brand Awareness,15 Days,Instagram,0.01,1282.17,7.07,3376,11520,10,Home,2022-12-05,Furnish Fine,Dec,1410.3870000000002,128.2170000000001,0.38
Men 18-24,Increase Sales,30 Days,Pinterest,0.06,4687.74,1.2047565571364782,7003,23786,1,Home,2022-07-30,Furnish Fine,Jul,5156.514,468.77400000000034,0.67
Women 18-24,Increase Sales,45 Days,Twitter,0.03,9840.97,4.35,25930,78324,4,Food,2022-08-31,Nosh Nirvana,Aug,10825.067000000001,984.0970000000016,0.38
Men 45-60,Increase Sales,30 Days,Instagram,0.05,5351.46,2.91,13728,42184,7,Food,2022-10-27,Savor Street,Oct,5886.606000000001,535.1460000000006,0.39
All Ages,Brand Awareness,45 Days,Instagram,0.09,9106.22,6.32,23906,72332,8,Home,2022-06-08,Dwell Delight,Jun,10016.842,910.6220000000012,0.38
Women 25-34,Brand Awareness,45 Days,Pinterest,0.08,11358.75,0.1054608855653593,17651,58456,1,Technology,2022-09-11,NexGen Nerds,Sep,12494.625000000002,1135.8750000000018,0.64
Men 25-34,Brand Awareness,60 Days,Facebook,0.12,12879.65,2.59,34077,102458,6,Food,2022-06-10,Feast Flavors,Jun,14167.615000000002,1287.965000000002,0.38
Men 25-34,Brand Awareness,30 Days,Instagram,0.05,7313.87,2.47,19045,57932,6,Fashion,2022-01-26,Chic Couture,Jan,8045.2570000000005,731.3870000000006,0.38
Women 25-34,Market Expansion,15 Days,Facebook,0.08,500.0,0.18,1353,5528,9,Fashion,2022-05-27,Vogue Visions,May,550.0,50.0,0.37
All Ages,Brand Awareness,30 Days,Facebook,0.03,5189.07,2.74,13296,40904,9,Fashion,2022-07-27,Fiber Fashion,Jul,5707.977,518.9070000000002,0.39
Women 18-24,Product Launch,45 Days,Facebook,0.12,11084.84,4.2,29308,88330,3,Home,2022-09-08,Homely Haven,Sep,12193.324,1108.4840000000004,0.38
Men 18-24,Increase Sales,30 Days,Pinterest,0.04,7612.2,0.5737787163810231,11656,38934,1,Home,2022-08-30,Nest Neat,Aug,8373.42,761.2200000000003,0.65
Women 18-24,Product Launch,45 Days,Instagram,0.05,9407.19,5.88,24725,74756,1,Health,2022-12-09,Well Wish,Dec,10347.909000000001,940.719000000001,0.38
Men 25-34,Increase Sales,45 Days,Facebook,0.04,7772.48,3.75,20295,61635,5,Fashion,2022-12-04,Runway Rebels,Dec,8549.728000000001,777.2480000000014,0.38
All Ages,Market Expansion,60 Days,Twitter,0.12,15000.0,0.2,38853,116605,4,Food,2022-05-11,Gourmet Grove,May,16500.0,1500.0,0.39
Men 25-34,Product Launch,45 Days,Pinterest,0.14,8994.11,0.6274028954820532,13867,46135,1,Home,2022-07-28,Furnish Fine,Jul,9893.521,899.4110000000001,0.65
Men 18-24,Brand Awareness,30 Days,Facebook,0.13,4376.06,5.97,11070,34310,6,Fashion,2022-10-13,Silk & Style,Oct,4813.666000000001,437.6060000000007,0.4
Men 18-24,Increase Sales,15 Days,Facebook,0.05,3602.35,0.8,8965,28075,2,Fashion,2022-10-17,Silk & Style,Oct,3962.585,360.2350000000001,0.4
Men 45-60,Market Expansion,45 Days,Facebook,0.13,11217.68,0.51,29675,89419,7,Fashion,2022-05-30,Fiber Fashion,May,12339.448000000002,1121.7680000000018,0.38
Men 35-44,Market Expansion,30 Days,Twitter,0.06,7564.47,5.97,19721,59933,10,Fashion,2022-03-13,Style Sphere,Mar,8320.917000000001,756.447000000001,0.38
Men 45-60,Market Expansion,60 Days,Instagram,0.06,13520.28,4.44,35630,107057,9,Home,2022-09-22,Furnish Fine,Sep,14872.308000000003,1352.028000000002,0.38
All Ages,Increase Sales,15 Days,Pinterest,0.11,3075.05,1.070696109383903,4447,15464,1,Home,2022-07-02,Space Spruce,Jul,3382.5550000000003,307.5050000000001,0.69
Women 25-34,Product Launch,45 Days,Pinterest,0.14,8777.74,0.7650382885080308,13527,45029,1,Technology,2022-07-08,Innovate Infinity,Jul,9655.514000000001,877.7740000000013,0.65
Women 18-24,Brand Awareness,45 Days,Facebook,0.1,10794.47,7.46,28514,85978,10,Food,2022-02-01,Feast Flavors,Feb,11873.917,1079.4470000000001,0.38
Women 45-60,Market Expansion,15 Days,Facebook,0.03,1846.37,1.27,4539,14966,5,Fashion,2022-07-08,Runway Rebels,Jul,2031.007,184.63700000000017,0.41
Women 45-60,Market Expansion,45 Days,Pinterest,0.04,10374.62,1.1028706168445208,16075,53325,1,Health,2022-09-01,Balance Beam,Sep,11412.082000000002,1037.4620000000014,0.65
Men 45-60,Brand Awareness,30 Days,Pinterest,0.05,4293.19,0.5040672835496838,6371,21726,1,Food,2022-11-29,Nosh Nirvana,Nov,4722.509,429.3190000000004,0.67
Women 45-60,Product Launch,45 Days,Facebook,0.07,8372.68,5.46,21933,66487,7,Technology,2022-05-15,Silicon Saga,May,9209.948,837.268,0.38
Women 35-44,Market Expansion,45 Days,Facebook,0.14,10770.8,0.28,28450,85789,1,Health,2022-08-22,Pulse Point,Aug,11847.880000000001,1077.0800000000017,0.38
Women 45-60,Increase Sales,15 Days,Instagram,0.11,1983.26,1.91,4863,15925,5,Fashion,2022-09-19,Style Sphere,Sep,2181.5860000000002,198.32600000000025,0.41
Men 18-24,Market Expansion,15 Days,Pinterest,0.1,671.05,0.9580853332717394,1366,5429,1,Fashion,2022-12-11,Glam Garments,Dec,738.155,67.10500000000002,0.49
Men 35-44,Market Expansion,45 Days,Twitter,0.02,10458.47,4.4,27601,83274,1,Fashion,2022-09-02,Glam Garments,Sep,11504.317000000001,1045.8470000000016,0.38
Men 25-34,Brand Awareness,60 Days,Twitter,0.07,14806.38,2.24,38131,114464,7,Food,2022-08-19,Feast Flavors,Aug,16287.018,1480.6380000000008,0.39
Women 18-24,Product Launch,15 Days,Twitter,0.12,666.87,2.12,2319,8389,6,Technology,2022-11-16,Code Crafters,Nov,733.557,66.68700000000001,0.29
Women 35-44,Increase Sales,45 Days,Instagram,0.06,10122.5,3.73,26690,80578,9,Home,2022-06-22,Living Luxe,Jun,11134.75,1012.25,0.38
All Ages,Brand Awareness,45 Days,Twitter,0.06,8524.24,0.58,22355,67735,2,Health,2022-09-27,Elixir Essence,Sep,9376.664,852.4240000000009,0.38
All Ages,Increase Sales,30 Days,Twitter,0.03,4428.46,4.58,11214,34737,8,Food,2022-09-20,Dine Divine,Sep,4871.3060000000005,442.84600000000046,0.39
Women 45-60,Product Launch,30 Days,Instagram,0.13,7750.29,4.08,20232,61448,2,Food,2022-02-07,Culinary Quest,Feb,8525.319000000001,775.0290000000014,0.38
Men 45-60,Market Expansion,45 Days,Facebook,0.04,9792.44,0.18,25795,77926,7,Home,2022-11-18,Living Luxe,Nov,10771.684000000001,979.2440000000006,0.38
Women 25-34,Brand Awareness,45 Days,Pinterest,0.06,9223.53,0.1537226467562865,14229,47314,1,Fashion,2022-10-20,Glam Garments,Oct,10145.883000000002,922.353000000001,0.65
Men 18-24,Brand Awareness,30 Days,Facebook,0.02,7617.29,7.28,19861,60350,4,Technology,2022-09-12,Code Crafters,Sep,8379.019,761.7290000000003,0.38
Women 45-60,Increase Sales,30 Days,Instagram,0.05,6673.69,0.03,17305,52778,2,Food,2022-02-24,Gourmet Grove,Feb,7341.059,667.3690000000006,0.39
Women 25-34,Market Expansion,60 Days,Twitter,0.12,15000.0,3.45,38929,116828,4,Fashion,2022-07-27,Vogue Visions,Jul,16500.0,1500.0,0.39
Men 25-34,Product Launch,45 Days,Instagram,0.14,9143.21,4.92,24013,72647,4,Fashion,2022-08-24,Style Sphere,Aug,10057.530999999999,914.3209999999999,0.38
Women 35-44,Product Launch,30 Days,Instagram,0.09,6668.76,2.52,17293,52742,4,Home,2022-08-02,Furnish Fine,Aug,7335.636,666.8760000000002,0.39
Men 18-24,Brand Awareness,60 Days,Facebook,0.1,11910.18,7.71,31536,94929,6,Fashion,2022-02-09,Style Sphere,Feb,13101.198000000002,1191.0180000000018,0.38
Women 18-24,Increase Sales,45 Days,Instagram,0.04,8807.38,4.11,23110,69972,5,Home,2022-06-24,Furnish Fine,Jun,9688.118,880.7380000000012,0.38
Women 25-34,Increase Sales,45 Days,Instagram,0.03,8311.86,0.23,21773,66014,4,Fashion,2022-08-05,Mode Maven,Aug,9143.046000000002,831.1860000000015,0.38
Men 18-24,Market Expansion,30 Days,Pinterest,0.14,4141.23,0.1340604477525754,6124,20924,1,Food,2022-04-04,Dine Divine,Apr,4555.353,414.1230000000005,0.68
Women 25-34,Market Expansion,30 Days,Pinterest,0.13,4845.82,0.7257138905006085,7255,24607,1,Food,2022-06-30,Dine Divine,Jun,5330.402,484.58200000000033,0.67
Men 25-34,Increase Sales,15 Days,Twitter,0.02,2511.55,6.86,6140,19707,9,Food,2022-06-16,Gastronomy Guild,Jun,2762.7050000000004,251.1550000000002,0.41
Women 18-24,Product Launch,15 Days,Twitter,0.07,500.0,5.31,1629,6346,1,Health,2022-05-16,Vital Vigor,May,550.0,50.0,0.31
Women 18-24,Brand Awareness,15 Days,Facebook,0.02,654.64,3.96,2299,8328,2,Fashion,2022-06-19,Mode Maven,Jun,720.104,65.46400000000006,0.28
Men 18-24,Market Expansion,60 Days,Facebook,0.11,12499.7,3.2,33082,99511,5,Home,2022-08-21,Cozy Corners,Aug,13749.670000000002,1249.9700000000012,0.38
Men 35-44,Brand Awareness,30 Days,Facebook,0.04,5151.24,4.94,13195,40605,5,Home,2022-04-24,Furnish Fine,Apr,5666.3640000000005,515.1240000000007,0.39
Women 35-44,Market Expansion,45 Days,Twitter,0.13,9930.89,7.38,26161,79010,9,Home,2022-05-29,Hearth Harmony,May,10923.979,993.0889999999999,0.38
Women 35-44,Product Launch,60 Days,Pinterest,0.14,14615.63,1.147557432762046,22219,73330,1,Fashion,2022-11-23,Silk & Style,Nov,16077.193000000001,1461.563000000002,0.66
